model,dataset,protocol_name,protocol_type,task,metric,paper_mean,paper_std,local_mean,local_std,status,likely_reason,notes
CBraMod,PhysioNet-MI,code_exact,code_exact,official_code_default,not_run,,,,,not_run,not_run_compute_guard,Official code path exists but would launch full training on processed LMDB; not run in gate without exact processed-data audit.
CBraMod,PhysioNet-MI,paper_exact,paper_exact,4-class,balanced_accuracy,0.6417,0.0091,,,failed,needs_paper_preprocessing_lmdb,Paper-exact full fine-tuning requires regenerated/audited LMDB and 50-epoch training; not substituted by frozen pooling or smoke.
CBraMod,PhysioNet-MI,paper_exact,paper_exact,4-class,cohen_kappa,0.5222,0.0169,,,failed,needs_paper_preprocessing_lmdb,Paper-exact full fine-tuning requires regenerated/audited LMDB and 50-epoch training; not substituted by frozen pooling or smoke.
CBraMod,PhysioNet-MI,paper_exact,paper_exact,4-class,weighted_f1,0.6427,0.01,,,failed,needs_paper_preprocessing_lmdb,Paper-exact full fine-tuning requires regenerated/audited LMDB and 50-epoch training; not substituted by frozen pooling or smoke.
CBraMod,PhysioNet-MI,executable_hybrid,executable_hybrid,forward_smoke_only,not_a_metric,,,,,not_scored,hybrid_forward_ready,"Can forward with 22-channel mapping, but this is not paper exact because paper uses 64 channels."
CBraMod,BCIC-IV-2a,code_exact,code_exact,official_code_default,not_run,,,,,not_run,not_run_compute_guard,Official code path exists but would launch full training on processed LMDB; not run in gate without exact processed-data audit.
CBraMod,BCIC-IV-2a,paper_exact,paper_exact,E.9 4-class,balanced_accuracy,0.5138,0.0066,,,failed,needs_paper_preprocessing_lmdb,Paper-exact full fine-tuning requires regenerated/audited LMDB and 50-epoch training; not substituted by frozen pooling or smoke.
CBraMod,BCIC-IV-2a,paper_exact,paper_exact,E.9 4-class,cohen_kappa,0.3518,0.0094,,,failed,needs_paper_preprocessing_lmdb,Paper-exact full fine-tuning requires regenerated/audited LMDB and 50-epoch training; not substituted by frozen pooling or smoke.
CBraMod,BCIC-IV-2a,paper_exact,paper_exact,E.9 4-class,weighted_f1,0.4984,0.0085,,,failed,needs_paper_preprocessing_lmdb,Paper-exact full fine-tuning requires regenerated/audited LMDB and 50-epoch training; not substituted by frozen pooling or smoke.
CBraMod,BCIC-IV-2a,executable_hybrid,executable_hybrid,forward_smoke_only,not_a_metric,,,,,not_scored,hybrid_forward_ready,"Forward works, but not full fine-tuning reproduction."
CBraMod,BCIC-IV-2a LOSO key ingredients,paper_exact,paper_exact,LOSO key ingredients,balanced_accuracy,0.7405,0.0635,,,failed,not_run_missing_key_ingredients_implementation,EA/session statistics/Mixup/subject-wise regularization implementation not identified in executable gate.
CBraMod,BCIC-IV-2a LOSO key ingredients,paper_exact,paper_exact,LOSO key ingredients,auc_pr,0.5997,0.0833,,,failed,not_run_missing_key_ingredients_implementation,EA/session statistics/Mixup/subject-wise regularization implementation not identified in executable gate.
CBraMod,BCIC-IV-2a LOSO key ingredients,paper_exact,paper_exact,LOSO key ingredients,auroc,0.7195,0.0682,,,failed,not_run_missing_key_ingredients_implementation,EA/session statistics/Mixup/subject-wise regularization implementation not identified in executable gate.
MIRepNet,BNCI2014001,code_exact,code_exact,official_code_default,not_run,,,,,failed,official_repo_behavior_unclear,Official README only documents BNCI2014004; target dataset code/preprocessed arrays absent.
MIRepNet,BNCI2014001,paper_exact,paper_exact,likely 2-class left/right,accuracy_full_finetune,0.8177,0.0027,,,failed,adapter_needed,Paper-exact run blocked because MIRepNet adapter is not ready; no 45-channel X.npy/labels.npy generated.
MIRepNet,BNCI2014001,paper_exact,paper_exact,likely 2-class left/right,accuracy_linear_probe,0.7536,0.0226,,,failed,adapter_needed,Paper-exact run blocked because MIRepNet adapter is not ready; no 45-channel X.npy/labels.npy generated.
MIRepNet,BNCI2014001,executable_hybrid,executable_hybrid,adapter_hybrid,not_run,,,,,failed,adapter_needed,Hybrid intentionally not created until adapter is validated.
MIRepNet,BNCI2014001-4,code_exact,code_exact,official_code_default,not_run,,,,,failed,official_repo_behavior_unclear,Official README only documents BNCI2014004; target dataset code/preprocessed arrays absent.
MIRepNet,BNCI2014001-4,paper_exact,paper_exact,4-class full,accuracy_full_finetune,0.6414,0.0031,,,failed,adapter_needed,Paper-exact run blocked because MIRepNet adapter is not ready; no 45-channel X.npy/labels.npy generated.
MIRepNet,BNCI2014001-4,paper_exact,paper_exact,4-class full,accuracy_linear_probe,0.5194,0.0184,,,failed,adapter_needed,Paper-exact run blocked because MIRepNet adapter is not ready; no 45-channel X.npy/labels.npy generated.
MIRepNet,BNCI2014001-4,executable_hybrid,executable_hybrid,adapter_hybrid,not_run,,,,,failed,adapter_needed,Hybrid intentionally not created until adapter is validated.
