auc_clean_positive,bad_type,direction_maybe_wrong,inverted_auc,n,variant
0.6216899862825789,all_bad,False,0.3783100137174211,4860,current_total
0.947394718792867,bad_artifact,False,0.05260528120713304,3240,current_total
0.8008573388203017,bad_content,False,0.19914266117969825,3240,current_total
0.15951303155006857,bad_physio,True,0.8404869684499314,3240,current_total
0.5789948559670782,bad_style,False,0.4210051440329218,3240,current_total
0.5607356824417009,all_bad,False,0.4392643175582991,4860,artifact_content
1.0,bad_artifact,False,0.0,3240,artifact_content
0.7831347736625515,bad_content,False,0.21686522633744854,3240,artifact_content
0.038031893004115226,bad_physio,True,0.9619681069958848,3240,artifact_content
0.42177606310013716,bad_style,True,0.5782239368998628,3240,artifact_content
0.5750219478737997,all_bad,False,0.4249780521262003,4860,artifact_content_style
0.9999790809327846,bad_artifact,False,2.0919067215352527e-05,3240,artifact_content_style
0.7854790809327846,bad_content,False,0.21452091906721538,3240,artifact_content_style
0.045830246913580244,bad_physio,True,0.9541697530864197,3240,artifact_content_style
0.4687993827160494,bad_style,True,0.5312006172839506,3240,artifact_content_style
0.5902969821673525,all_bad,False,0.4097030178326475,4860,artifact_content_physio_fixed
0.996258573388203,bad_artifact,False,0.003741426611796994,3240,artifact_content_physio_fixed
0.7833689986282579,bad_content,False,0.21663100137174207,3240,artifact_content_physio_fixed
0.075730109739369,bad_physio,True,0.924269890260631,3240,artifact_content_physio_fixed
0.5058302469135803,bad_style,False,0.49416975308641975,3240,artifact_content_physio_fixed
0.7238972908093279,all_bad,False,0.27610270919067215,4860,artifact_gate_content_rank
0.9999951989026064,bad_artifact,False,4.801097393647424e-06,3240,artifact_gate_content_rank
0.9999969135802469,bad_content,False,3.0864197531066395e-06,3240,artifact_gate_content_rank
0.0019879972565157752,bad_physio,True,0.9980120027434842,3240,artifact_gate_content_rank
0.8936090534979424,bad_style,False,0.1063909465020576,3240,artifact_gate_content_rank
