artifact,aug_id,aug_type,content,is_bad,original_index,physio,seed,style,target_subject,total
0.07692307978868484,clean_0000_00,clean,0.7435897588729858,0,0,0.8974359035491943,20,0.8974359035491943,1,2.461538553237915
0.1794871836900711,bad_content_0000_00,bad_content,0.7179487347602844,1,0,0.25641027092933655,20,0.4871794879436493,1,1.2820512056350708
0.8461538553237915,clean_0001_00,clean,0.6410256624221802,0,1,0.10256410390138626,20,0.12820513546466827,1,0.025641024112701416
0.5384615659713745,bad_content_0001_00,bad_content,0.7692307829856873,1,1,0.4871794879436493,20,0.3589743673801422,1,1.076923131942749
0.7948718070983887,clean_0002_00,clean,0.5128205418586731,0,2,0.1538461595773697,20,0.0,1,-0.12820512056350708
0.4615384638309479,bad_content_0002_00,bad_content,0.8205128312110901,1,2,0.5128205418586731,20,0.3333333432674408,1,1.2051283121109009
0.025641025975346565,clean_0003_00,clean,0.25641027092933655,0,3,1.0,20,0.7692307829856873,1,1.9999998807907104
0.1538461595773697,bad_content_0003_00,bad_content,0.4871794879436493,1,3,0.3333333432674408,20,0.5384615659713745,1,1.2051283121109009
0.5897436141967773,clean_0004_00,clean,0.8461538553237915,0,4,0.9743589758872986,20,0.4615384638309479,1,1.692307710647583
1.0,bad_artifact_0004_00,bad_artifact,0.0,1,4,0.43589743971824646,20,0.25641027092933655,1,-0.307692289352417
0.3589743673801422,clean_0005_00,clean,0.38461539149284363,0,5,0.7179487347602844,20,0.8205128312110901,1,1.5641025304794312
0.3333333432674408,bad_physio_0005_00,bad_physio,0.23076923191547394,1,5,0.6410256624221802,20,0.7435897588729858,1,1.2820512056350708
0.3076923191547394,clean_0006_00,clean,0.3076923191547394,0,6,0.8461538553237915,20,0.8461538553237915,1,1.692307710647583
0.43589743971824646,bad_content_0006_00,bad_content,0.5641025900840759,1,6,0.28205129504203796,20,0.6153846383094788,1,1.0256410837173462
0.8717948794364929,clean_0007_00,clean,0.41025641560554504,0,7,0.05128205195069313,20,0.07692307978868484,1,-0.3333333134651184
0.9230769276618958,bad_artifact_0007_00,bad_artifact,0.07692307978868484,1,7,0.4615384638309479,20,0.1794871836900711,1,-0.20512819290161133
0.10256410390138626,clean_0008_00,clean,0.7948718070983887,0,8,0.9487179517745972,20,0.43589743971824646,1,2.076923131942749
0.9487179517745972,bad_artifact_0008_00,bad_artifact,0.025641025975346565,1,8,0.41025641560554504,20,0.20512820780277252,1,-0.307692289352417
0.7179487347602844,clean_0009_00,clean,0.6666666865348816,0,9,0.12820513546466827,20,0.1538461595773697,1,0.23076921701431274
0.12820513546466827,bad_content_0009_00,bad_content,0.6153846383094788,1,9,0.1794871836900711,20,0.38461539149284363,1,1.0512820482254028
0.6666666865348816,clean_0010_00,clean,0.9743589758872986,0,10,0.7692307829856873,20,1.0,1,2.076923131942749
0.692307710647583,bad_physio_0010_00,bad_physio,0.12820513546466827,1,10,0.6153846383094788,20,0.9487179517745972,1,1.0
0.7692307829856873,clean_0011_00,clean,0.3333333432674408,0,11,0.07692307978868484,20,0.10256410390138626,1,-0.25641024112701416
0.23076923191547394,bad_physio_0011_00,bad_physio,0.1794871836900711,1,11,0.5897436141967773,20,0.6666666865348816,1,1.2051281929016113
0.8205128312110901,clean_0012_00,clean,0.28205129504203796,0,12,0.025641025975346565,20,0.05128205195069313,1,-0.4615384638309479
0.0,bad_style_0012_00,bad_style,0.8717948794364929,1,12,0.3076923191547394,20,0.28205129504203796,1,1.4615384340286255
0.5641025900840759,clean_0013_00,clean,0.3589743673801422,0,13,0.692307710647583,20,0.5641025900840759,1,1.0512821674346924
0.6153846383094788,bad_content_0013_00,bad_content,0.692307710647583,1,13,0.3589743673801422,20,0.41025641560554504,1,0.8461537957191467
0.6410256624221802,clean_0014_00,clean,0.43589743971824646,0,14,0.8717948794364929,20,0.8717948794364929,1,1.5384615659713745
0.5128205418586731,bad_content_0014_00,bad_content,0.20512820780277252,1,14,0.23076923191547394,20,0.9230769276618958,1,0.8461539149284363
0.7435897588729858,clean_0015_00,clean,0.5384615659713745,0,15,0.0,20,0.025641025975346565,1,-0.1794871687889099
0.41025641560554504,bad_style_0015_00,bad_style,0.8974359035491943,1,15,0.38461539149284363,20,0.3076923191547394,1,1.1794872283935547
0.25641027092933655,clean_0016_00,clean,0.9487179517745972,0,16,0.8205128312110901,20,0.7179487347602844,1,2.230769157409668
0.20512820780277252,bad_physio_0016_00,bad_physio,0.1538461595773697,1,16,0.5641025900840759,20,0.6410256624221802,1,1.153846263885498
0.05128205195069313,clean_0017_00,clean,1.0,0,17,0.9230769276618958,20,0.9743589758872986,1,2.846153736114502
0.8974359035491943,bad_artifact_0017_00,bad_artifact,0.05128205195069313,1,17,0.6666666865348816,20,0.5897436141967773,1,0.41025638580322266
0.28205129504203796,clean_0018_00,clean,0.5897436141967773,0,18,0.7435897588729858,20,0.5128205418586731,1,1.5641025304794312
0.4871794879436493,bad_content_0018_00,bad_content,0.4615384638309479,1,18,0.20512820780277252,20,0.692307710647583,1,0.8717948198318481
0.38461539149284363,clean_0019_00,clean,0.9230769276618958,0,19,0.7948718070983887,20,0.7948718070983887,1,2.1282050609588623
0.9743589758872986,bad_artifact_0019_00,bad_artifact,0.10256410390138626,1,19,0.5384615659713745,20,0.23076923191547394,1,-0.10256403684616089
