target_subject,seed,group,n_support,n_aug_total,n_aug_kept,accuracy,balanced_accuracy,macro_f1,kappa,auroc,nll,ece,brier
90,20,NaiveAug_LS010,10,50,50,0.6,0.5947712418300654,0.5833333333333333,0.1914191419141914,0.630718954248366,0.6833339648689749,0.10644737141472951,0.4901130795478821
90,20,ArtifactReject_LS010,10,50,45,0.5428571428571428,0.5408496732026145,0.5394736842105263,0.08196721311475397,0.6176470588235294,0.6842315540241228,0.09710399849074226,0.49101370573043823
90,20,SoftWeight_noReject_LS010,10,50,50,0.6,0.5882352941176471,0.51,0.1806020066889632,0.6209150326797386,0.6855069152038019,0.07460167748587472,0.4922589957714081
90,20,SASCert_SoftAR_LS010,10,50,45,0.6571428571428571,0.6470588235294118,0.6022727272727272,0.29999999999999993,0.6274509803921569,0.685245584725468,0.16279985393796648,0.4919918179512024
90,21,NaiveAug_LS010,10,50,50,0.5714285714285714,0.5604575163398693,0.4897959183673469,0.12353923205342232,0.5915032679738562,0.6852724286905731,0.04649365970066615,0.4921027719974518
90,21,ArtifactReject_LS010,10,50,45,0.5428571428571428,0.5310457516339869,0.43999999999999995,0.0635451505016722,0.5947712418300654,0.6861286428397606,0.0913124884877886,0.4929470717906952
90,21,SoftWeight_noReject_LS010,10,50,50,0.5714285714285714,0.5604575163398693,0.4897959183673469,0.12353923205342232,0.6045751633986928,0.6852978346724253,0.0472335832459586,0.4921204745769501
90,21,SASCert_SoftAR_LS010,10,50,45,0.5428571428571428,0.5294117647058824,0.4017094017094017,0.060402684563758635,0.607843137254902,0.6861964384899982,0.11843893613134113,0.49300602078437805
91,20,NaiveAug_LS010,10,50,50,0.6,0.5947712418300654,0.5833333333333333,0.1914191419141914,0.5457516339869282,0.690007706016476,0.08632605246135167,0.4968632161617279
91,20,ArtifactReject_LS010,10,50,45,0.6,0.5980392156862745,0.5970394736842105,0.19672131147540972,0.5392156862745099,0.690637264118907,0.08325905970164708,0.49749401211738586
91,20,SoftWeight_noReject_LS010,10,50,50,0.5714285714285714,0.5669934640522876,0.5584524810765349,0.13509060955518937,0.5294117647058824,0.6910724775999395,0.05965844052178519,0.497926265001297
91,20,SASCert_SoftAR_LS010,10,50,45,0.5428571428571428,0.5457516339869282,0.5394736842105263,0.09090909090909094,0.5261437908496732,0.6915157553471282,0.03692331995282854,0.4983731806278229
91,21,NaiveAug_LS010,10,50,50,0.6,0.5915032679738562,0.5561594202898551,0.18604651162790697,0.565359477124183,0.6832105810463907,0.0652418851852417,0.4900898039340973
91,21,ArtifactReject_LS010,10,50,45,0.6,0.5915032679738562,0.5561594202898551,0.18604651162790697,0.565359477124183,0.6831388292862133,0.06732628175190516,0.49002140760421753
91,21,SoftWeight_noReject_LS010,10,50,50,0.6285714285714286,0.6176470588235294,0.5578231292517006,0.24040066777963265,0.5555555555555556,0.6851035966985332,0.16192267281668526,0.49197572469711304
91,21,SASCert_SoftAR_LS010,10,50,45,0.6,0.5898692810457516,0.5359848484848485,0.18333333333333335,0.5522875816993464,0.6844868180232941,0.09334734848567416,0.4913577437400818
92,20,NaiveAug_LS010,10,50,50,0.40425531914893614,0.42636363636363633,0.33669354838709675,-0.14038128249566717,0.3927272727272727,0.7121616830760665,0.12684241698143328,0.5189129114151001
92,20,ArtifactReject_LS010,10,50,45,0.425531914893617,0.4409090909090909,0.3982930298719773,-0.11413520632133456,0.38545454545454544,0.7115423162566643,0.10166582655399403,0.5183010101318359
92,20,SoftWeight_noReject_LS010,10,50,50,0.425531914893617,0.4409090909090909,0.3982930298719773,-0.11413520632133456,0.3981818181818182,0.7105951004562657,0.10171864704882845,0.5173572897911072
92,20,SASCert_SoftAR_LS010,10,50,45,0.44680851063829785,0.4581818181818182,0.43425925925925923,-0.0814159292035399,0.37636363636363634,0.7097277786498257,0.07650309167009718,0.5164911150932312
92,21,NaiveAug_LS010,10,50,50,0.44680851063829785,0.44181818181818183,0.44047619047619047,-0.11700182815356497,0.3654545454545455,0.7043753106908546,0.07437941495408404,0.5111989378929138
92,21,ArtifactReject_LS010,10,50,45,0.48936170212765956,0.4790909090909091,0.4699248120300752,-0.04251386321626627,0.36363636363636365,0.7027169468013011,0.11293080322285916,0.5095391869544983
92,21,SoftWeight_noReject_LS010,10,50,50,0.44680851063829785,0.44181818181818183,0.44047619047619047,-0.11700182815356497,0.3563636363636363,0.7045314075231146,0.07420025861009638,0.5113539695739746
92,21,SASCert_SoftAR_LS010,10,50,45,0.5319148936170213,0.5136363636363637,0.4788306451612903,0.02819548872180444,0.35454545454545455,0.7022732404248357,0.1842039791827506,0.509087324142456
