backbone,component,comparison,auc_high_score_is_clean,n
CBraMod_frozen,sas_score,clean_vs_all_bad,0.19689814814814816,300
CBraMod_frozen,physio_score,clean_vs_all_bad,0.8444444444444444,300
CBraMod_frozen,style_score,clean_vs_all_bad,0.6408333333333334,300
CBraMod_frozen,artifact_safe_score,clean_vs_all_bad,0.33333333333333337,300
CBraMod_frozen,content_score,clean_vs_all_bad,0.3044444444444444,300
CBraMod_frozen,score_artifact_gate_physio,clean_vs_all_bad,0.9022222222222221,300
CBraMod_frozen,component_gated_v1,clean_vs_all_bad,0.8395370370370371,300
CBraMod_frozen,component_gated_v1_soft,clean_vs_all_bad,0.7383101851851852,300
ST-EEGFormer-small_source_tuned,sas_score,clean_vs_all_bad,0.16620370370370371,300
ST-EEGFormer-small_source_tuned,physio_score,clean_vs_all_bad,0.8444444444444444,300
ST-EEGFormer-small_source_tuned,style_score,clean_vs_all_bad,0.6408333333333334,300
ST-EEGFormer-small_source_tuned,artifact_safe_score,clean_vs_all_bad,0.33333333333333337,300
ST-EEGFormer-small_source_tuned,content_score,clean_vs_all_bad,0.2722222222222222,300
ST-EEGFormer-small_source_tuned,score_artifact_gate_physio,clean_vs_all_bad,0.9022222222222221,300
ST-EEGFormer-small_source_tuned,component_gated_v1,clean_vs_all_bad,0.8395370370370371,300
ST-EEGFormer-small_source_tuned,component_gated_v1_soft,clean_vs_all_bad,0.7383101851851852,300
