bad_type,component,backbone_a,auc_a,direction_a,backbone_b,auc_b,direction_b,abs_auc_gap,direction_conflict
bad_artifact,artifact_safe_score,CBraMod_frozen,1.0,clean_high,ST-EEGFormer-small_source_tuned,1.0,clean_high,0.0,False
bad_artifact,content_score,CBraMod_frozen,0.005416666666666668,bad_high_or_inverted,ST-EEGFormer-small_source_tuned,0.031250000000000035,bad_high_or_inverted,0.025833333333333368,False
bad_artifact,physio_score,CBraMod_frozen,0.6530555555555555,clean_high,ST-EEGFormer-small_source_tuned,0.6530555555555555,clean_high,0.0,False
bad_artifact,sas_score,CBraMod_frozen,0.5084722222222222,weak_or_mixed,ST-EEGFormer-small_source_tuned,0.3057638888888889,bad_high_or_inverted,0.20270833333333332,False
bad_artifact,score_artifact_gate_physio,CBraMod_frozen,0.8263888888888888,clean_high,ST-EEGFormer-small_source_tuned,0.8263888888888888,clean_high,0.0,False
bad_artifact,style_score,CBraMod_frozen,0.65,clean_high,ST-EEGFormer-small_source_tuned,0.65,clean_high,0.0,False
bad_content,artifact_safe_score,CBraMod_frozen,0.0,bad_high_or_inverted,ST-EEGFormer-small_source_tuned,0.0,bad_high_or_inverted,0.0,False
bad_content,content_score,CBraMod_frozen,0.9025000000000002,clean_high,ST-EEGFormer-small_source_tuned,0.2629861111111111,bad_high_or_inverted,0.6395138888888892,True
bad_content,physio_score,CBraMod_frozen,0.9406944444444445,clean_high,ST-EEGFormer-small_source_tuned,0.9406944444444445,clean_high,0.0,False
bad_content,sas_score,CBraMod_frozen,0.08194444444444446,bad_high_or_inverted,ST-EEGFormer-small_source_tuned,0.018263888888888885,bad_high_or_inverted,0.06368055555555557,False
bad_content,score_artifact_gate_physio,CBraMod_frozen,0.9406944444444445,clean_high,ST-EEGFormer-small_source_tuned,0.9406944444444445,clean_high,0.0,False
bad_content,style_score,CBraMod_frozen,0.65,clean_high,ST-EEGFormer-small_source_tuned,0.65,clean_high,0.0,False
bad_physio,artifact_safe_score,CBraMod_frozen,0.0,bad_high_or_inverted,ST-EEGFormer-small_source_tuned,0.0,bad_high_or_inverted,0.0,False
bad_physio,content_score,CBraMod_frozen,0.0054166666666666695,bad_high_or_inverted,ST-EEGFormer-small_source_tuned,0.5224305555555555,weak_or_mixed,0.5170138888888889,False
bad_physio,physio_score,CBraMod_frozen,0.9395833333333334,clean_high,ST-EEGFormer-small_source_tuned,0.9395833333333334,clean_high,0.0,False
bad_physio,sas_score,CBraMod_frozen,0.00027777777777777864,bad_high_or_inverted,ST-EEGFormer-small_source_tuned,0.1745833333333333,bad_high_or_inverted,0.17430555555555555,False
bad_physio,score_artifact_gate_physio,CBraMod_frozen,0.9395833333333334,clean_high,ST-EEGFormer-small_source_tuned,0.9395833333333334,clean_high,0.0,False
bad_physio,style_score,CBraMod_frozen,0.6225,clean_high,ST-EEGFormer-small_source_tuned,0.6225,clean_high,0.0,False
